Id,Neighborhood,LotFrontage,LotArea,number of bedrooms,Street,Alley,OverallQual,OverallCond,Date,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,SquareFootage,Heating,HeatingQC,SaleType,SaleCondition,Price
32,RL,NA,8544,2,Pave,NA,5,6,1966,TA,No,Unf,0,Unf,0,1228,1228,GasA,Gd,WD,Normal,149350
33,RL,85,11049,3,Pave,NA,8,5,2007,TA,Av,Unf,0,Unf,0,1234,1234,GasA,Ex,WD,Normal,179900
34,RL,70,10552,4,Pave,NA,5,5,1959,TA,No,Rec,1018,Unf,0,380,1398,GasA,Gd,WD,Normal,165500
35,RL,60,7313,4,Pave,NA,9,5,2005,TA,No,GLQ,1153,Unf,0,408,1561,GasA,Ex,WD,Normal,277500
36,RL,108,13418,2,Pave,NA,8,5,2004,TA,Av,Unf,0,Unf,0,1117,1117,GasA,Ex,WD,Normal,309000
37,RL,112,10859,2,Pave,NA,5,5,1994,TA,No,Unf,0,Unf,0,1097,1097,GasA,Ex,WD,Normal,145000
38,RL,74,8532,2,Pave,NA,5,6,1954,TA,No,Rec,1213,Unf,0,84,1297,GasA,Gd,WD,Normal,153000
39,RL,68,7922,2,Pave,NA,5,7,1953,TA,No,GLQ,731,Unf,0,326,1057,GasA,TA,WD,Abnorml,109000
40,RL,65,6040,2,Pave,NA,4,5,1955,NA,NA,NA,0,NA,0,0,0,GasA,TA,WD,AdjLand,82000
41,RL,84,8658,2,Pave,NA,6,5,1965,TA,No,Rec,643,Unf,0,445,1088,GasA,Ex,WD,Abnorml,160000
42,RL,115,16905,2,Pave,NA,5,6,1959,TA,Gd,BLQ,967,Unf,0,383,1350,GasA,Gd,WD,Normal,170000
43,RL,NA,9180,1,Pave,NA,5,7,1983,TA,Av,ALQ,747,LwQ,93,0,840,GasA,Gd,WD,Normal,144000
44,RL,NA,9200,3,Pave,NA,5,6,1975,TA,Av,LwQ,280,BLQ,491,167,938,GasA,TA,WD,Normal,130250
45,RL,70,7945,3,Pave,NA,5,6,1959,TA,No,ALQ,179,BLQ,506,465,1150,GasA,Ex,WD,Normal,141000
46,RL,61,7658,4,Pave,NA,9,5,2005,TA,No,GLQ,456,Unf,0,1296,1752,GasA,Ex,WD,Normal,319900
47,RL,48,12822,4,Pave,NA,7,5,2003,TA,No,GLQ,1351,Unf,0,83,1434,GasA,Ex,WD,Abnorml,239686
48,FV,84,11096,3,Pave,NA,8,5,2006,TA,Av,GLQ,24,Unf,0,1632,1656,GasA,Ex,WD,Normal,249700
49,RM,33,4456,4,Pave,NA,4,5,1920,TA,No,Unf,0,Unf,0,736,736,GasA,Gd,New,Partial,113000
50,RL,66,7742,3,Pave,NA,5,7,1966,TA,No,BLQ,763,Unf,0,192,955,GasA,Ex,WD,Normal,127000
51,RL,NA,13869,3,Pave,NA,6,6,1997,TA,Av,GLQ,182,Unf,0,612,794,GasA,Gd,WD,Normal,177000
52,RM,52,6240,3,Pave,NA,6,6,1934,TA,No,Unf,0,Unf,0,816,816,GasA,TA,WD,Normal,114500
53,RM,110,8472,3,Grvl,NA,5,5,1963,TA,Gd,LwQ,104,GLQ,712,0,816,GasA,TA,WD,Normal,110000
54,RL,68,50271,6,Pave,NA,9,5,1981,TA,Gd,GLQ,1810,Unf,0,32,1842,GasA,Gd,WD,Normal,385000
55,RL,60,7134,3,Pave,NA,5,5,1955,TA,No,ALQ,384,Unf,0,0,384,GasA,TA,WD,Normal,130000
56,RL,100,10175,3,Pave,NA,6,5,1964,TA,No,BLQ,490,Unf,0,935,1425,GasA,Gd,WD,Normal,180500
57,FV,24,2645,2,Pave,Pave,8,5,1999,TA,No,GLQ,649,Unf,0,321,970,GasA,Ex,WD,Abnorml,172500
58,RL,89,11645,4,Pave,NA,7,5,2004,TA,No,Unf,0,Unf,0,860,860,GasA,Ex,WD,Normal,196500
59,RL,66,13682,3,Pave,NA,10,5,2006,TA,Gd,Unf,0,Unf,0,1410,1410,GasA,Ex,New,Partial,438780
60,RL,60,7200,3,Pave,NA,5,7,1972,TA,Av,ALQ,632,Unf,0,148,780,GasA,Ex,WD,Normal,124900
61,RL,63,13072,3,Pave,NA,6,5,2004,TA,No,ALQ,941,Unf,0,217,1158,GasA,Ex,New,Partial,158000
62,RM,60,7200,3,Pave,NA,5,7,1920,Fa,No,Unf,0,Unf,0,530,530,GasA,TA,WD,Normal,101000
63,RL,44,6442,3,Pave,NA,8,5,2006,Gd,Mn,GLQ,24,Unf,0,1346,1370,GasA,Ex,WD,Normal,202500
64,RM,50,10300,2,Pave,NA,7,6,1921,TA,No,Unf,0,Unf,0,576,576,GasA,Gd,WD,Normal,140000
65,RL,NA,9375,3,Pave,NA,7,5,1997,TA,No,GLQ,739,Unf,0,318,1057,GasA,Ex,WD,Normal,219500
66,RL,76,9591,2,Pave,NA,8,5,2004,TA,Av,Unf,0,Unf,0,1143,1143,GasA,Ex,WD,Normal,317000
67,RL,NA,19900,2,Pave,NA,7,5,1970,TA,Gd,GLQ,912,Unf,0,1035,1947,GasA,TA,WD,Normal,180000
68,RL,72,10665,3,Pave,NA,7,5,2003,TA,Av,GLQ,1013,Unf,0,440,1453,GasA,Ex,WD,Normal,226000
69,RM,47,4608,3,Pave,NA,4,6,1945,TA,No,Unf,0,Unf,0,747,747,GasA,TA,WD,Normal,80000
70,RL,81,15593,2,Pave,NA,7,4,1953,TA,No,BLQ,603,Unf,0,701,1304,GasW,TA,WD,Normal,225000
71,RL,95,13651,3,Pave,NA,7,6,1973,TA,Gd,ALQ,1880,Unf,0,343,2223,GasA,Ex,WD,Normal,244000
72,RL,69,7599,2,Pave,NA,4,6,1982,TA,No,ALQ,565,Unf,0,280,845,GasA,TA,WD,Normal,129500
73,RL,74,10141,3,Pave,NA,7,5,1998,TA,No,Unf,0,Unf,0,832,832,GasA,Gd,WD,Normal,185000
74,RL,85,10200,3,Pave,NA,5,7,1954,TA,No,ALQ,320,BLQ,362,404,1086,GasA,Gd,WD,Normal,144900
75,RM,60,5790,3,Pave,NA,3,6,1915,TA,No,Unf,0,Unf,0,840,840,GasA,Gd,WD,Normal,107400
76,RM,21,1596,3,Pave,NA,4,5,1973,TA,Gd,GLQ,462,Unf,0,0,462,GasA,TA,WD,Normal,91000
77,RL,NA,8475,2,Pave,NA,4,7,1956,TA,No,ALQ,228,Unf,0,724,952,GasA,Ex,WD,Normal,135750
78,RM,50,8635,3,Pave,NA,5,5,1948,TA,No,BLQ,336,GLQ,41,295,672,GasA,TA,WD,Normal,127000
79,RL,72,10778,3,Pave,NA,4,5,1968,TA,No,Unf,0,Unf,0,1768,1768,GasA,TA,WD,Normal,136500
80,RM,60,10440,4,Pave,Grvl,5,6,1910,TA,No,Unf,0,Unf,0,440,440,GasA,Gd,WD,Normal,110000
81,RL,100,13000,2,Pave,NA,6,6,1968,TA,No,Rec,448,Unf,0,448,896,GasA,TA,WD,Normal,193500
82,RM,32,4500,3,Pave,NA,6,5,1998,Gd,No,GLQ,1201,Unf,0,36,1237,GasA,Ex,WD,Normal,153500
83,RL,78,10206,3,Pave,NA,8,5,2007,TA,No,GLQ,33,Unf,0,1530,1563,GasA,Ex,WD,Normal,245000
84,RL,80,8892,2,Pave,NA,5,5,1960,TA,No,Unf,0,Unf,0,1065,1065,GasA,Gd,COD,Normal,126500
85,RL,NA,8530,2,Pave,NA,7,5,1995,TA,No,Unf,0,Unf,0,384,384,GasA,Gd,WD,Normal,168500
86,RL,121,16059,3,Pave,NA,8,5,1991,TA,No,Unf,0,Unf,0,1288,1288,GasA,Ex,WD,Normal,260000
87,RL,122,11911,3,Pave,NA,6,5,2005,TA,Av,Unf,0,Unf,0,684,684,GasA,Ex,WD,Normal,174000
88,FV,40,3951,3,Pave,Pave,6,5,2009,TA,Av,Unf,0,Unf,0,612,612,GasA,Ex,New,Partial,164500
89,C (all),105,8470,2,Pave,NA,3,2,1915,Fa,No,Unf,0,Unf,0,1013,1013,GasA,TA,ConLD,Abnorml,85000
90,RL,60,8070,4,Pave,NA,4,5,1994,TA,No,GLQ,588,Unf,0,402,990,GasA,Ex,WD,Normal,123600
91,RL,60,7200,2,Pave,NA,4,5,1950,NA,NA,NA,0,NA,0,0,0,GasA,TA,WD,Normal,109900
92,RL,85,8500,4,Pave,NA,5,3,1961,TA,No,Rec,600,Unf,0,635,1235,GasA,TA,WD,Abnorml,98600
93,RL,80,13360,3,Pave,Grvl,5,7,1921,TA,No,ALQ,713,Unf,0,163,876,GasA,Ex,WD,Normal,163500
94,C (all),60,7200,3,Pave,NA,6,6,1910,Fa,Mn,Rec,1046,Unf,0,168,1214,GasW,Ex,WD,Normal,133900
95,RL,69,9337,3,Pave,NA,6,5,1997,TA,No,GLQ,648,Unf,0,176,824,GasA,Ex,WD,Normal,204750
96,RL,NA,9765,3,Pave,NA,6,8,1993,Gd,No,ALQ,310,Unf,0,370,680,GasA,Gd,WD,Normal,185000
97,RL,78,10264,3,Pave,NA,7,5,1999,TA,Av,ALQ,1162,Unf,0,426,1588,GasA,Ex,WD,Normal,214000
98,RL,73,10921,3,Pave,NA,4,5,1965,TA,No,Rec,520,Unf,0,440,960,GasA,TA,WD,Normal,94750
99,RL,85,10625,4,Pave,NA,5,5,1920,TA,No,ALQ,108,Unf,0,350,458,GasA,Fa,COD,Abnorml,83000
100,RL,77,9320,2,Pave,NA,4,5,1959,TA,No,ALQ,569,Unf,0,381,950,GasA,Fa,WD,Normal,128950
101,RL,NA,10603,4,Pave,NA,6,7,1977,TA,Mn,ALQ,1200,Unf,0,410,1610,GasA,Gd,WD,Normal,205000
102,RL,77,9206,3,Pave,NA,6,5,1985,TA,No,Unf,0,Unf,0,741,741,GasA,TA,WD,Normal,178000
103,RL,64,7018,2,Pave,NA,5,5,1979,NA,NA,NA,0,NA,0,0,0,GasA,TA,WD,Alloca,118964
104,RL,94,10402,3,Pave,NA,7,5,2009,TA,No,Unf,0,Unf,0,1226,1226,GasA,Ex,WD,Normal,198900
105,RM,NA,7758,4,Pave,NA,7,4,1931,TA,No,LwQ,224,Unf,0,816,1040,GasA,Ex,WD,Normal,169500
106,FV,75,9375,1,Pave,NA,8,5,2003,TA,No,Unf,0,Unf,0,1053,1053,GasA,Ex,WD,Normal,250000
107,RM,60,10800,2,Pave,Grvl,4,7,1885,TA,No,Unf,0,Unf,0,641,641,GasA,Gd,WD,Normal,100000
108,RM,50,6000,4,Pave,NA,5,5,1948,TA,No,ALQ,104,BLQ,169,516,789,GasA,Ex,WD,Partial,115000
109,RM,85,8500,4,Pave,NA,5,7,1919,TA,No,Unf,0,Unf,0,793,793,GasW,TA,WD,Normal,115000
110,RL,105,11751,3,Pave,NA,6,6,1977,TA,No,BLQ,705,Unf,0,1139,1844,GasA,Ex,COD,Normal,190000
111,RL,75,9525,3,Pave,NA,6,4,1954,Fa,No,Rec,444,Unf,0,550,994,GasA,Gd,WD,Normal,136900
112,RL,NA,,3,Pave,NA,7,5,2000,TA,No,GLQ,250,Unf,0,134,384,GasA,Ex,WD,Normal,180000
113,RL,77,9965,1,Pave,NA,7,5,2007,TA,Av,GLQ,984,Unf,0,280,1264,GasA,Ex,New,Partial,383970
114,RL,NA,21000,3,Pave,NA,6,5,1953,TA,Mn,ALQ,35,Rec,869,905,1809,GasA,TA,COD,Abnorml,217000
115,RL,61,7259,1,Pave,NA,6,8,1945,TA,No,ALQ,774,LwQ,150,104,1028,GasA,Ex,WD,Normal,259500
116,FV,34,3230,3,Pave,Pave,6,5,1999,TA,No,GLQ,419,Unf,0,310,729,GasA,Gd,WD,Normal,176000
117,RL,NA,11616,2,Pave,NA,5,5,1962,TA,No,LwQ,170,BLQ,670,252,1092,GasA,TA,WD,Normal,139000
118,RL,74,8536,3,Pave,NA,5,5,2006,TA,No,Unf,0,Unf,0,1125,1125,GasA,Gd,New,Partial,155000
119,RL,90,12376,2,Pave,NA,7,5,1990,TA,Mn,GLQ,1470,Unf,0,203,1673,GasA,Gd,WD,Normal,320000
120,RL,65,8461,3,Pave,NA,6,5,2005,TA,No,Unf,0,Unf,0,728,728,GasA,Ex,New,Partial,163990
121,RL,NA,21453,3,Pave,NA,6,5,1969,TA,Gd,ALQ,938,Unf,0,0,938,GasA,Ex,WD,Normal,180000
122,RM,50,6060,3,Pave,NA,4,5,1939,TA,No,Unf,0,Unf,0,732,732,GasA,Gd,WD,Normal,100000
123,RL,75,9464,3,Pave,NA,6,7,1958,TA,No,BLQ,570,Unf,0,510,1080,GasA,Gd,WD,Normal,136000
124,RL,55,7892,4,Pave,NA,6,5,1993,TA,No,GLQ,300,Unf,0,899,1199,GasA,Ex,WD,Normal,153900
125,RL,48,17043,1,Pave,NA,6,5,1979,Fa,No,Unf,0,Unf,0,1362,1362,GasA,TA,WD,Normal,181000
126,RM,60,6780,2,Pave,NA,6,8,1935,TA,Av,GLQ,490,Unf,0,30,520,GasA,Gd,WD,Normal,84500
127,RL,NA,4928,3,Pave,NA,6,5,1976,TA,No,ALQ,120,Unf,0,958,1078,GasA,TA,WD,Normal,128000
128,RM,55,4388,3,Pave,NA,5,7,1930,TA,No,LwQ,116,Unf,0,556,672,GasA,Ex,WD,Normal,87000
129,RL,69,7590,2,Pave,NA,6,5,1966,TA,No,BLQ,512,Unf,0,148,660,GasA,TA,WD,Normal,155000
130,RL,69,8973,3,Pave,NA,5,7,1958,TA,No,Rec,567,BLQ,28,413,1008,GasA,TA,WD,Abnorml,150000
131,RL,88,14200,3,Pave,NA,7,6,1966,TA,No,Rec,445,Unf,0,479,924,GasA,Ex,WD,Normal,226000
132,RL,NA,12224,2,Pave,NA,6,5,2000,TA,No,GLQ,695,Unf,0,297,992,GasA,Ex,WD,Normal,244000
133,RL,75,7388,2,Pave,NA,5,6,1959,TA,No,Rec,405,Unf,0,658,1063,GasA,Gd,WD,Normal,150750
134,RL,NA,6853,6,Pave,NA,8,5,2001,TA,No,GLQ,1005,Unf,0,262,1267,GasA,Ex,WD,Normal,220000
135,RL,78,10335,3,Pave,NA,5,6,1968,TA,No,Rec,570,Unf,0,891,1461,GasA,Gd,WD,Normal,180000
136,RL,80,10400,4,Pave,NA,7,6,1970,TA,No,Unf,0,Unf,0,1304,1304,GasA,Gd,WD,Normal,174000
137,RL,NA,10355,5,Pave,NA,5,5,1967,TA,No,BLQ,695,Unf,0,519,1214,GasA,TA,WD,Normal,143000
138,RL,82,11070,3,Pave,NA,7,5,1988,TA,No,Unf,0,Unf,0,1907,1907,GasA,Gd,WD,Family,171000
139,RL,73,9066,1,Pave,NA,8,5,1999,TA,Mn,GLQ,668,Unf,0,336,1004,GasA,Ex,WD,Normal,230000
140,RL,65,15426,2,Pave,NA,6,5,1997,TA,No,GLQ,821,Unf,0,107,928,GasA,Ex,WD,Normal,231500
141,RL,70,10500,1,Pave,NA,4,5,1971,TA,No,ALQ,432,Unf,0,432,864,GasA,TA,ConLI,Normal,115000
142,RL,78,11645,2,Pave,NA,7,5,2005,TA,Av,GLQ,1300,Unf,0,434,1734,GasA,Ex,WD,Normal,260000
143,RL,71,8520,3,Pave,NA,5,4,1952,TA,No,Rec,507,Unf,0,403,910,GasA,Fa,WD,Normal,166000
144,RL,78,10335,2,Pave,NA,7,5,1999,TA,Gd,GLQ,679,Unf,0,811,1490,GasA,Ex,WD,Normal,204000
145,RM,70,9100,3,Pave,NA,5,5,1963,TA,No,Rec,1332,Unf,0,396,1728,GasA,TA,ConLI,Abnorml,125000
146,RM,24,2522,3,Pave,NA,6,5,2004,TA,No,Unf,0,Unf,0,970,970,GasA,Ex,WD,Normal,130000
147,RM,51,6120,5,Pave,NA,5,7,1931,TA,No,BLQ,209,Unf,0,506,715,GasA,TA,WD,Normal,105000
148,RL,NA,9505,3,Pave,NA,7,5,2001,TA,No,Unf,0,Unf,0,884,884,GasA,Ex,WD,Normal,222500
149,RL,63,7500,2,Pave,NA,7,5,2004,TA,No,GLQ,680,Unf,0,400,1080,GasA,Ex,WD,Normal,141000
150,RM,NA,6240,3,Pave,NA,5,4,1936,TA,No,Unf,0,Unf,0,896,896,GasA,Gd,WD,Normal,115000
151,RL,120,10356,2,Pave,NA,5,6,1975,TA,Av,BLQ,716,Unf,0,253,969,GasA,TA,WD,Normal,122000
152,RL,107,13891,3,Pave,NA,8,5,2007,TA,Gd,GLQ,1400,Unf,0,310,1710,GasA,Ex,New,Partial,372402
153,RL,NA,14803,3,Pave,NA,6,5,1971,TA,No,Rec,416,Unf,0,409,825,GasA,Gd,WD,Normal,190000
154,RL,NA,13500,2,Pave,NA,6,7,1960,TA,Gd,BLQ,429,ALQ,1080,93,1602,GasA,Gd,WD,Normal,235000
155,RM,84,11340,3,Pave,NA,6,5,1923,TA,No,Unf,0,Unf,0,1200,1200,GasA,TA,WD,Family,125000
156,RL,60,9600,3,Pave,NA,6,5,1924,TA,No,Unf,0,Unf,0,572,572,Grav,Fa,WD,Normal,79000
157,RL,60,7200,3,Pave,NA,5,7,1950,NA,NA,NA,0,NA,0,0,0,GasA,TA,WD,Normal,109500
158,RL,92,12003,3,Pave,NA,8,5,2009,TA,No,Unf,0,Unf,0,774,774,GasA,Ex,New,Partial,269500
159,FV,100,12552,2,Pave,NA,7,5,2004,TA,No,GLQ,222,Unf,0,769,991,GasA,Ex,WD,Normal,254900
160,RL,134,19378,4,Pave,NA,7,5,2005,TA,Mn,GLQ,57,Unf,0,1335,1392,GasA,Ex,New,Partial,320000
161,RL,NA,11120,3,Pave,NA,6,6,1984,TA,No,BLQ,660,Unf,0,572,1232,GasA,TA,WD,Normal,162500
162,RL,110,13688,5,Pave,NA,9,5,2003,TA,Av,GLQ,1016,Unf,0,556,1572,GasA,Ex,WD,Normal,412500
163,RL,95,12182,3,Pave,NA,7,5,2005,TA,Mn,BLQ,1201,Unf,0,340,1541,GasA,Ex,New,Partial,220000
164,RL,55,5500,3,Pave,NA,4,6,1956,TA,No,Unf,0,Unf,0,882,882,GasA,Ex,WD,Normal,103200
165,RM,40,5400,2,Pave,Pave,6,7,1926,TA,Mn,LwQ,370,Unf,0,779,1149,GasA,Gd,WD,Normal,152000
166,RL,62,10106,4,Pave,NA,5,7,1940,TA,No,ALQ,351,Rec,181,112,644,GasA,Gd,WD,Normal,127500
167,RL,NA,10708,3,Pave,NA,5,5,1955,TA,No,LwQ,379,BLQ,768,470,1617,GasA,Ex,COD,Normal,190000
168,RL,86,10562,4,Pave,NA,8,5,2007,TA,No,GLQ,1288,Unf,0,294,1582,GasA,Ex,New,Partial,325624
169,RL,62,8244,3,Pave,NA,7,5,2004,TA,No,Unf,0,Unf,0,840,840,GasA,Ex,WD,Normal,183500
170,RL,NA,16669,1,Pave,NA,8,6,1981,TA,No,Unf,0,Unf,0,1686,1686,GasA,TA,WD,Normal,228000
171,RM,NA,12358,2,Pave,NA,5,6,1941,TA,No,Rec,360,Unf,0,360,720,GasA,TA,WD,Normal,128500
172,RL,141,31770,2,Pave,NA,6,5,1960,Gd,Gd,BLQ,639,Unf,0,441,1080,GasA,Fa,WD,Normal,215000
173,RL,44,5306,3,Pave,NA,7,7,1987,Gd,No,GLQ,495,Rec,215,354,1064,GasA,Gd,WD,Normal,239000
174,RL,80,10197,3,Pave,NA,6,5,1961,TA,No,ALQ,288,Rec,374,700,1362,GasA,TA,COD,Normal,163000
175,RL,47,12416,3,Pave,NA,6,5,1986,Fa,No,ALQ,1398,LwQ,208,0,1606,GasA,TA,WD,Normal,184000
176,RL,84,12615,3,Pave,NA,6,7,1950,Gd,Av,ALQ,477,Unf,0,725,1202,GasA,TA,WD,Normal,243000
177,RL,97,10029,3,Pave,NA,6,5,1988,TA,No,GLQ,831,Unf,0,320,1151,GasA,TA,WD,Normal,211000
178,RL,NA,13650,4,Pave,NA,5,5,1958,TA,No,ALQ,57,BLQ,441,554,1052,GasA,Ex,WD,Normal,172500
179,RL,63,17423,3,Pave,NA,9,5,2008,TA,No,GLQ,1904,Unf,0,312,2216,GasA,Ex,New,Partial,501837
180,RM,60,8520,4,Pave,NA,5,6,1923,TA,No,Unf,0,Unf,0,968,968,GasA,TA,WD,Normal,100000
181,FV,NA,2117,3,Pave,NA,6,5,2000,TA,No,GLQ,436,Unf,0,320,756,GasA,Ex,WD,Normal,177000
182,RL,54,7588,3,Pave,NA,7,6,1920,TA,No,LwQ,352,Unf,0,441,793,GasA,Gd,WD,Normal,200100
183,RL,60,9060,3,Pave,NA,5,6,1957,NA,NA,NA,0,NA,0,0,0,GasA,Ex,WD,Normal,120000
184,RM,63,11426,3,Pave,NA,7,5,2003,TA,No,Unf,0,Unf,0,1362,1362,GasA,Ex,WD,Normal,200000
185,RL,92,7438,3,Pave,NA,5,8,1908,TA,No,Unf,0,Unf,0,504,504,GasA,Gd,WD,Normal,127000
186,RM,90,22950,3,Pave,NA,10,9,1892,TA,Mn,Unf,0,Unf,0,1107,1107,GasA,Ex,WD,Normal,475000
187,RL,NA,9947,3,Pave,NA,7,5,1990,TA,Av,GLQ,611,Unf,0,577,1188,GasA,Ex,WD,Normal,173000
188,RL,60,10410,2,Pave,NA,5,7,1916,TA,No,Unf,0,Unf,0,660,660,GasA,Ex,WD,Normal,135000
189,RL,64,7018,3,Pave,NA,5,5,1979,TA,Av,GLQ,1086,Unf,0,0,1086,GasA,TA,WD,Alloca,153337
190,RL,41,4923,3,Pave,NA,8,5,2001,TA,Av,GLQ,1153,Unf,0,440,1593,GasA,Ex,WD,Normal,286000
191,RL,70,10570,3,Pave,NA,8,8,1932,Gd,No,Rec,297,Unf,0,556,853,GasA,TA,WD,Normal,315000
192,RL,NA,7472,2,Pave,NA,7,9,1972,TA,No,ALQ,626,Unf,0,99,725,GasA,Gd,WD,Normal,184000
193,RL,68,9017,2,Pave,NA,7,5,1999,TA,Av,GLQ,560,Unf,0,871,1431,GasA,Ex,WD,Normal,192000
194,RM,24,2522,3,Pave,NA,7,5,2004,TA,No,Unf,0,Unf,0,970,970,GasA,Ex,WD,Normal,130000
195,RL,60,7180,2,Pave,NA,5,7,1972,TA,Av,ALQ,390,Unf,0,474,864,GasA,TA,WD,Normal,127000
196,RL,24,2280,3,Pave,NA,6,6,1976,TA,No,ALQ,566,Unf,0,289,855,GasA,TA,WD,Normal,148500
197,RL,79,9416,3,Pave,NA,7,5,2007,TA,No,GLQ,1126,Unf,0,600,1726,GasA,Ex,New,Partial,311872
198,RL,174,25419,3,Pave,NA,8,4,1918,TA,No,GLQ,1036,LwQ,184,140,1360,GasA,Gd,WD,Abnorml,235000
199,RM,92,5520,2,Pave,NA,6,6,1912,TA,No,Unf,0,Unf,0,755,755,GasA,Ex,WD,Abnorml,104000
200,RL,76,9591,3,Pave,NA,8,5,2004,TA,Av,GLQ,1088,Unf,0,625,1713,GasA,Ex,WD,Normal,274900
201,RM,80,8546,4,Pave,NA,4,5,2003,TA,No,Unf,0,Unf,0,1121,1121,GasA,Ex,WD,Normal,140000
202,RL,75,10125,3,Pave,NA,6,6,1977,TA,No,ALQ,641,LwQ,279,276,1196,GasA,TA,WD,Normal,171500
203,RL,50,7000,3,Pave,NA,6,6,1924,TA,No,LwQ,617,Unf,0,0,617,GasA,Gd,COD,Normal,112000
204,RM,NA,4438,2,Pave,NA,6,5,2004,TA,Av,GLQ,662,Unf,0,186,848,GasA,Ex,WD,Normal,149000
